"id","submitdate","lastpage","startlanguage","Q1S1","Q1a","Q2S1","Q3S2","Q3S3","Q3S4","Q3S5","Q3S6","Q4S1","Q4S2","Q4S3","Q5S1","Q5S2","Q5S3","Q6","Q7","Q8S1","Q8S2","Q8S3","Q8S4","Q9","Q10S2","Q10S3","Q10S4","Q10S5","Q10S6","Q11S2","Q11S3","Q11S4","Q11S5","Q11S6","Q11S7","Q12S1","Q12S2","Q202S1","Q202S2","Q202a","Q203S1","Q203S2","Q203a","Q204S1","Q204S2","Q204a","Q208S1","Q208S2","Q208a","Q207S1","Q207S2","Q207a","Q205S1","Q205S2","Q205a","Q206S1","Q206S2","Q206a","Q209S1","Q209S2","Q209a","Q201S1","Q201S2","Q201a","Q210S1","Q210S2","Q210a","Q211S1","Q211S2","Q211a","Q212S1","Q212S2","Q212a","Q213S1","Q213S2","Q213a","Q200S1","Q200S2","Q200a","Q103SQ001","Q103SQ002","Q103SQ003","Q104SQ001","Q104SQ002","Q104SQ003","Q104SQ004","Q105","Q14","Q14comment","Q16","Q17","Q18"
"15","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Usual","Alway","Rarel","Alway","Somet","Interacting with others in the jams.","Learning more about ""slow"" brakes.","The camp facility.","We only had a coach for half of the jams.  I missed the interaction and getting to know the other teachers.","I'm a planner and would like to have know what to expect for the daily schedule.  I get great enjoyment in planning before events.  I'll know next time.","","Jams with the coaches.","","EX","VG","ADQ","EX","good as is.  Thanks.","Xpos","Xpos","Xpos","Pos","Pos","","","","","ADQ","","5","5","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","A1","","","A1","A1","A1","","Excellent!","A13","","Great program and great teachers.  Thanks.","The ""Jam Coaching"" was rated as average because we only had a coach for half the jams.  The coaches we did have were great each time.  ","John L Payne"
"16","","1","en","Xpos","A1","Right","Alway","Alway","Somet","Alway","Alway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","1","en","Vpos","A1","Right","Usual","Alway","Rarel","Alway","Usual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","1980-01-01 00:00:00","5","en","Xpos","A2","2fast","Somet","Usual","Somet","Alway","Usual","I love the instrument classes. ","The open mic.","Getting to play on the cabin stage.","More in depth instrument classes.","Being able to pick who you wan to be with.","Switching instruments.","Emphasize who should be in the advanced instrument classes and who shouldn't. Also when we jam, it shouldn't be all about the songs you can sing. We should add more instrumentals in the camp. It's a lot more fun to jam that way then just singing the same tune songs over an over.","So much singing. Not everyone is a fan.","EX","VG","VG","EX","Need more stuff to explain about the camp.","Xpos","Xpos","Xpos","Vpos","Vpos","","","","","VG","VG","5","5","Xpos","Xpos","He was a wonderful teacher for fiddle!","Xpos","Xpos","He is so funny! Great coach.","","","I didn't have him.","Xpos","Xpos","Wonderful.","Xpos","Xpos","He is great!","Xpos","Xpos","","Xpos","Xpos","Wonderful bass coach! Taught me the electric bass is under an hour!","Xpos","Xpos","Great guitarist.","Xpos","Xpos","","","","","","","","Xpos","Xpos","Great coach!","Xpos","Xpos","Wonderful prodigy! I think he might know more than all the other teachers ","Vpos","Vpos","","A1","","","A1","A1","A1","A1","Very good!","A12","","No","","Heidi"
"19","","1","en","Xpos","A2","Right","Alway","Alway","Rarel","Alway","Alway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Alway","Alway","Rarel","Alway","Alway","The people, both campers and coaches","The seeming increase in the quality of the playing and singing of the campers over earlier years. Some of this can probably be attributed to the longevity of
many campers.......because they've had more experience with this and are more comfortable performing and inspiring others.","The evolving nature of the camp.....it changes a bit from year to year,  and this is good!","I can't really think of any significant changes. I'm happy with it the way it is.","N/A","N/A","None","None.....I experienced an absence of frustrations this year.","EX","EX","EX","","As a veteran camper, I don't usually get these materials any more, so I can't really comment on this.","Xpos","Xpos","Xpos","Xpos","Xpos","","","","","EX","EX","5","5","Xpos","Xpos","Scott is always fun to be around.....either in a group coaching situation or a more personal one-on-one situation","Xpos","Xpos","Steve is simply a fun guy to be around, and has such an awesome and extremely clean playing ability....a true champion.","Xpos","Xpos","I had essentially no direct experience with Scooter during this particular camp experience, but know him well and have always enjoyed being around him and occasionally encounter him elsewhere.","Xpos","Xpos","Joan is always such a positive and encouraging person to be around, although I had little or no direct coaching time with her this trip. We all adore Joan.","Xpos","Xpos","""Yoda"" is always a trip!  A good coach and lots of fun to be with.....a great sense of humor and very encouraging.","Xpos","Xpos","Gilbert is so consistently and infectiously enthusiastic about jamming and coaching and lots of fun to play and sing with.","Xpos","Xpos","Leigh is simply a very nice person to be around.....again, no direct coaching from her this trip, but I have enjoyed an introduction to bass playing with her in the past.","Xpos","Xpos","Dee is very focused and very articulate in his coaching style. He cuts to the chase in a very direct way that is very helpful either one-on-one or in a group context.","Xpos","Xpos","Very laid back, very competent player and very gentle coaching style. Those of us who encountered him in a coaching situation warmed to him veryquickly. Very accommodating in doing backup playing in groups.","","","No experience with Julie, but very intrigued by her and enjoyed watching and hearing her play in a group.","Xpos","Xpos","I was very impressed with this young man.....he is an awesome player who appreciates the playing and singing efforts of others and was fun to be around. I hope he gets to come back again. Actually, I feel the same way about ALL the coaches!","Vpos","Vpos","I had little experience with Brandon, but he seems OK to me.","Xpos","Xpos","Again, no experience with Liam in a coaching situation, but have known him from his earliest experience with jam camp and have enjoyed encouraging his endeavors,
both at Jam Camp and at IBMA etc.","Xpos","Xpos","Pete is the consummate pro at this and really knows what he's doing. He gets results. He can be a bit acerbic at times, but all in a good cause! We all owe him a lot for creating these camps which are so great at getting closet pickers out of that closet.","","","","A1","A1","A1","","I thought it was adequate to good.....perhaps not quite as imaginative as in the past years, and certainly not as much fun as when we had those 3 local mountain ladies
in charge, but no complaints.","A3","Even though this was the largest group ever, I thought this was one of the best camps ever, with a great group of people and a large and interesting staff of coaches that we really enjoyed. While we may have been almost rained off the Cabin Stage this year, it came off very well, in my opinion, and I received quite a number of positive comments from those who saw this year's performance. Although not everyone may agree, I rather liked having Pete choose the two songs we performed as it bypassed all the
frustration of having to vote and experience disappointments.","Nothing but my sincere thanks for providing this interesting and exciting opportunity allowing folks to get more involved in bluegrass....it's one thing to enjoy and appreciate bluegrass music, but quite another to feel comfortable in actually participating in it on a performance level.","No","Gene Brown"
"21","","1","en","Vpos","A1","2fast","Usual","Usual","Somet","Usual","Alway","My group","The teachers","Learning new techniques and skills","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","1980-01-01 00:00:00","5","en","Vpos","A1","2fast","Usual","Alway","Rarel","Alway","Usual","","","","","","","","","VG","VG","VG","EX","The mandolin attachment with former student comments was formatted with different fonts and seemed pretty quickly thrown together.","Vpos","Vpos","Xpos","Pos","Vpos","NM","NM","ADQ","NM","","ADQ","5","5","","","","Vpos","","The only time I spent with Steve was his elective session on bluegrass history...","Xpos","Xpos","Really enjoyed his style and content of the two mandolin sessions with Scooter. Though I had heard of the pentatonic scale, I had no idea what it was until his second session when he taught it and showed a little about how to use it.","Vpos","Vpos","I wish I had more time with her to get more practice singing, with which I had very little prior experience.","Xpos","","I didn't spend any time working directly with Keith but sat with him and talked during several meals and found him to be knowledgeable, funny and approachable. I hope to work with him some next year!","Xpos","Xpos","Gilbert is open, positive and enthusiastic and was a great leader, I had one instrument session with him (mandolins and fiddles together) and he provided one insight to the mandolin fretboard that will be extremely useful to me in the future.","Vpos","Vpos","Leigh worked mostly with my novice group and was nurturing and provided gentle direction to a group that was sometimes a little unwieldy and disorganized. ","","","","","","","","","","","","","","","","","","","Vpos","Vpos","I enjoyed his morning talks and leading the large group through songs after breakfast. He was only able to come down the hill for one session with the novices, which I found enlightening and challenging as well. I wish I could have had more time with him...","","","A2","","A1","A1","","Food was totally fine, maybe a little better than I expected...","A11","I will be back next year!","Job well done!","","Jack Deason"
"23","","1","en","Xpos","A2","Right","Usual","Usual","Rarel","Alway","Alway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","-1","en","Xpos","A1","Right","Alway","Alway","Somet","Alway","Alway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","1980-01-01 00:00:00","5","en","Vpos","A2","2fast","Somet","Alway","Rarel","Usual","Somet","The singing classes","The improvisation class","Jamming","A little more organization which would provide more time for jamming","Their was a big difference between the ""new"" teachers and the teachers that are normally there","Some teachers had structure in the jam groups and the others did not. The structure helped our group.","","Less time in the morning announcements","VG","SP","ADQ","EX","","Vpos","Vpos","Xpos","Vpos","Pos","ADQ","SP","SP","VG","","EX","5","5","Xpos","Xpos","","","","","Vpos","Pos","Could be a little more organized with what he wanted to teach us. Relied on our questions.","","","","Xpos","Xpos","Keith was the best teacher I encountered!!!","Xpos","Xpos","Gilbert was great at teaching singing!!","","","","","","","","","","Neg","Neg","Julie was pleasant and tried to be helpful but she did not seem to know what her role was. Our classes with Keith were much more productive
","Neg","Neg","Scooter kind of took over in the mando instruction. Zeb did not seem to know what his role was in jamming or instrument training","Neg","Neg","Did not seem to know what his role was. I got him early in the week. And he did improve from first section to the next one.","","","","","","","A1","","","A1","A1","A1","","Very good for the number of people they were serving!!","A13","","","",""
"26","1980-01-01 00:00:00","5","en","Vpos","A1","2fast","Usual","Usual","Somet","Usual","Alway","Encouragement to sing, never sang in public or as an adult.","Small group and individual ""elective"" sessions","Understanding of musical structure of bluegrass, ","Better instrument for self evaluation of ""bluegrass"" skills and knowledge, first day I self assessed my self in the intermediate/advanced group as I have played music since I in 2nd grade and have played guitar for 50 years but found I have 0 ""bluegrass"" skills,   First day was pretty much lost on me as I needed to be in the basic group","More clear description of the Dr. Banjo teaching method.   As a former instructional evaluator, I was trying to connect the dots between a clearly stated learning objectives, presentation methods and evaluation of outcomes","Logistics for group jams and small groups was sometimes difficult, I understand and appreciate how difficult it is to do.  ","Each of the sessions should have some type of stated learning objective, what we are going to do, instructor/coach expectations and what I can do to optimize my participation.","Jamming in the first day, particularly for first time campers,","VG","VG","VG","SP","Better description of the 4 day course design, suggested learning activities to help me better prepare for the different classes.","Vpos","Vpos","Vpos","Vpos","Xpos","NM","NM","NM","NM","","VG","4","2","","","","","","","","","","Pos","Vpos","","","","","Xpos","Xpos","Great teacher, very observant, excellent coaching skills","Xpos","Xpos","Only spent a little time with Leigh, but was very positive","Vpos","","Highly skilled musician, but felt he was teaching above my head, OK as it made me stretch but with me being  unfamiliar with ""bluegrass"" runs and walks and picking melodies always racing to keep up","","","","","","","","","","","","","","","","Vpos","Xpos","It is not extremely positive ""fun"" to learn to sing again as an adult but I am extremely thankful for the honest feedback and suggestion for improvement.","","A1","","","","A1","","3 on a scale of ten, consistently mediocre ","A12","Herb Key","May want to limit the camp size next year and require newbies like me to the bluegrass method to buy or include your bluegrass slow jam for beginners for the price of admission.","It was the thrill of a lifetime to get up on stage and perform at MerleFest.
I was not aware of the ""open mic"" night Tuesday night and the Wednesday night performance in advance, please make them more clear in the literature, I regret not being able to participate in them.
This was a great experience for me and offer these comments with a sincere desire to help improve an already great process.  Thank you ","Tom Arneson"
"27","1980-01-01 00:00:00","5","en","Vpos","A2","Right","Usual","Usual","Somet","Alway","Somet","Level of instruction","Support of fellow campers","Support of instructors","Availability of coaches during jam groups","Get to play with more different groups","","Learning to solo / take break ","  ","VG","VG","VG","VG"," ","Vpos","Vpos","Vpos","Vpos","Pos","ADQ","VG","VG","VG","ADQ","VG","5","5","Xpos","Xpos"," ","Xpos","Xpos"," ","Xpos","Xpos","","","","","","","","Xpos","Xpos","","Vpos","Vpos","","Vpos","Xpos","","","","","Vpos","Xpos","","Pos","Pos","","Xpos","Xpos","","Xpos","Xpos","","Pos","Xpos","","","","","A1","A1","A1","","Very good ","A13","","","",""
"28","1980-01-01 00:00:00","5","en","Xpos","A2","","","","","","","Quality and musical ability of instructors","The camp and facility","The amount of playing time available","","","","","","","EX","EX","","","Xpos","Xpos","Xpos","Xpos","","","","","","","","","","","","","","","","","","","Xpos","","","Xpos","","","","","","","","","","","","","","","Xpos","","","","","","Xpos","","","","","","","","","","","","","A1","","","","A3","","","",""
"29","1980-01-01 00:00:00","5","en","Xpos","A1","2slow","Usual","Alway","Rarel","Alway","Alway","Pete & Joan","Coaches","Campers","Beak out instrumental  instruction by a couple of degrees of ability.  We had two coaches and novice to advanced campers in our mando class.","Start promptly at 9:00 with the daily instructions/plans and finish in 30 minutes.","Don't get any bigger in terms of the number of campers.","","","VG","VG","VG","VG","","Xpos","Xpos","Xpos","Pos","Vpos","VG","ADQ","ADQ","VG","VG","ADQ","5","5","","","","Xpos","Vpos","","Xpos","Vpos","","Xpos","Xpos","","Xpos","Xpos","","Xpos","Xpos","","","","","","","","Xpos","Vpos","","","","","Xpos","Vpos","","Xpos","Vpos","","","","","Xpos","Xpos","","A2","","","A1","A1","A1","","Not typically what I would eat, but they did about as good a job as possible given the number of folks to feed.","A13","","You have a terrific method and run a fabulously fun camp!","","States Lee"
"30","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Alway","Alway","Rarel","Usual","Usual","Opportunity to jam with new people.","Opportunity to interact with some amazing instructors; even 30 minutes resulted in some ""aha!"" lightbulb moment.","Learning new songs.","","","","","","EX","EX","EX","EX","","Xpos","Xpos","Xpos","Xpos","Vpos","","","","","EX","EX","5","5","Xpos","Xpos","","Xpos","Xpos","This was my third year at this camp, but my very first having time with Steve. He's got amazing talent but so down to earth and able to translate that into something meaningful for everyone.","Xpos","Vpos","This was my third year at this camp, but my very first having time with Scooter.  He was a coach for our band one session (Chick Keys) and was generally helpful; didn't get in our way. He had some great stories!

I also bought a used mandolin from Scott while at the camp (guitar is my main instrument) and I sat in on the mandolin class taught by Scooter on the very last day. It was GREAT. I was brand new to the instrument, and there were intermediate and advanced folks also in the same group, and I think we all got something out of it.

Scooter was also the coach for a small jam group on my very last day - mostly advanced folks (the Up Cane Creek folks invited Chick Keys to join them) and he just let us go forth and have fun, but he still contributed.","","","I had only passing interaction with Joan this year, and I missed that!","Xpos","Xpos","Keith is such a gifted instructor. He was coach for the Chick Keys for a couple of sessions and we all learned so much. He would have just a small tidbit to share for an individual on an instrument, then suggestions for how we operated as a group.  For example, he helped us figure out how to incorporate dynamics into our group playing. I play to schedule some individual lesson time with him (via Skype) over the next few months. Awesome!","Xpos","Xpos","I've been to at least 8 different camps with Gilbert and he was fabulous, as always. I joined the ""fill in licks"" session, and he showed everyone a neat ""move up the neck"" lick (chromatic) and did a great job a) showing us the lick on individual instruments then putting us into instrument groups to learn it; and b) showing us HOW to apply what we learned! We played a couple of parts of songs where we all got to try incorporating the lick. While we did learn one specific lick (well, 3 variations of the same lick), he also emphasize the overall idea of how/when to use licks. Just a great session.","Xpos","Xpos","I had only passing interaction with Leigh this year, and I missed seeing her more! We were in one late night jam together and the group was advanced enough to try new songs, and hard songs! As always, Leigh was so supportive.","","","I had only passing interaction with Dee this year. :-(","","","I did not have any interaction with Cecil; not even sure I could pick him out of a line up!","Pos","Pos","Julie was friendly, but clearly a novice at being a coach. She coached the Chick Keys a couple of times, and no real insights for us, just general positive ""sounds good!"" feedback.  In at least two sessions, she was busy chomping her gum and seemed preoccupied; if I didn't know better she could have been mistaken for one of the teen campers who sometimes seem bored with us old geezers!

In the third session where she coached us, Gilbert showed up and we asked him to stay to just play banjo (as our banjo player was not available - long story). Gilbert did a great job just being the banjo player and not stepping on Julie's toes, and deliberately would say ""I'm not the coach here, ask Julie!"" In this scenario, Julie was a bit more engaged with our group and was more proactive in giving us feedback (and the feedback seemed on point). Kudos to both Gilbert and Julie in this situation. ","","","Zeb? Never heard of the guy!","","","Brandon....sounds familiar but have no clue who this was.","","","I wasn't in any sessions with Liam but that would have been a treat!","Pos","Vpos","Pete gave our band some grief for spending time rehearsing instead of attending harmony singing. I get his point about deviating from the schedule, and we should have kept him informed. But it was the only opportunity to work with our ""hired gun"" banjo player. If we had known there was a special guest visiting during that time, we would have been happy to make a big effort to participate more in that session. He came down on us pretty hard.

But...then we got to have Pete coach our band later that day, and it was EXTREMELY helpful. Pete is so gifted as a teacher, and I've not had much time with him in previous camps. Lots of basic stuff, but also some nuanced instruction.

Overall, I am so grateful to Pete (and the rest) for his passion to spread the message about bluegrass and teaching people HOW to jam. It's changed my life. So while Pete can sometimes be a bit gruff, it's all still worth it. He's a quality guy, and gifted teacher, and his contributions to all of us adult learners is hard to calculate. ","","","","A1","A1","","","Better than before!","A1","","This is my third year, and having 80 people felt like too many compared to 70-ish in past years.

I appreciate all the hard work that Pete puts into the camp and into ensuring we all have a positive experience.

Instructors are great, for the most part! Can you get Bob Menke and Alan Epstein for next year? They are great.","",""
